pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
5XVJyEshpj3k8cdSGZZ5J5nyAeYwMcn8P4dbB2bN898B,417812307160,3,27291190000,15000,9097063333,5.496279202189424e-05
27vTXFwzqtJ7mqV6NSwuoPbq8mRYUY5LMNFAx7odhTHB,27099995077,37,207386712883,185000,5605046294,8.920532922683926e-05
89JhrfbFEWpuioYgF6NsJbhq29CdebtarARdWjErHwQo,6010022088,12,96943626828,60000,8078635569,6.189163946429776e-05
2D7NboWdoUB7JAUqhV8AFmRQN1ouwd4cTgbA9Efexv1m,4800075929,5,31020075929,25000,6204015185,8.059296842864282e-05
GCkSYCr8cWvJEPdfZPvsepgbPTsbZbmkrfL9urHguzfo,58481786677,49,47097636422,325000,961176253,0.0006900558598906414
9PLfM7sPfUJvafZrWuLyxksscXg6acucLbbmXRhfwgvD,3780334371564,9,63338670720,45000,7037630080,7.104664415666475e-05
C4jsdAYzuG8H7sH6bYXoi7Y9CxnNxQ1p7SKDGK24rNpz,78277274477,110,83568720208,660000,759715638,0.0007897691843997133
716vcvA2PnT4r4zv1VzdQkPYhXGMQtXftA5nYDhnuj65,4149355851552,3,25073605851,15000,8357868617,5.9823864541612236e-05
FtupYuYATjvgnY5C43XLcnRV1DGgwhEJDjxe81Qw2Qgj,35281459000,4,58795769998,20000,14698942499,3.401605251649961e-05
DXzZqxoYgdGynBNvBKSrrPc2AfehQREZ36ghnNV97B3n,441688843955,3,30652344130,15000,10217448043,4.893589846304521e-05
6xbZRaGDpgdmARp8Xhh69JKotbP634W9eYJswVJ6Lgdu,29733086950,6,72314265210,30000,12052377535,4.148559058559229e-05
EswkhYHdWod9mb6SRe3rysGVwLXA6iZXAboQBde6ENrW,4429450756198,3,22921087402,15000,7640362467,6.544192139283567e-05
8hxPcjX1hwrZZTA6APuMVB27hnFhJAD9U8gKfdgCe1Jw,11723101155,15,80794962423,75000,5386330828,9.282756962908081e-05
GzawbCq82iRFNtDxfYP6Ni2wcCJbfc7aL9XTbNNfHKHt,354504397684,3,25043165880,15000,8347721960,5.989658045582534e-05
